code,year,happiness,food_insec,precipitation,indiv_free,gini,hdi,gdp_pc,family,corruption,air_deaths,life_expectancy,temperature,urbanization,covid,hri,suicides,taxes,schooling
SVK,2020,6.3309,53.76,6.566,9.74,50.4,89.222,77.0054,9.500319,0.29786424776415094,0.921,0.251,34.970203,0.857,30960.9591865974,1.6,824.0,0.903,9.799783
SVK,2019,6.2806,53.729,6.3187532,9.31,50.4,89.222,77.6851,9.987126,0.525,0.925,0.23232324,34.651752,0.862,32056.7791417731,1.1,824.0,0.914,10.094
SVK,2018,6.1976,53.726,6.278058,9.43,50.0,89.222,77.264,9.963084,0.525,0.926,0.24970147,34.22225,0.859,31313.8200827531,0.8,824.0,0.9,10.101996
SVK,2017,6.1734,53.751,6.25635,9.55,50.0,89.222,77.219,8.815889,0.525,0.936,0.23237751,34.201836,0.856,30142.3674521189,0.9,824.0,0.927,10.38
SVK,2016,6.098,53.806,6.3430376,9.66,51.0,89.222,77.2146,9.04842,0.525,0.938,0.25167745,33.30618,0.854,29327.5158296018,0.9,824.0,0.929,10.094
SVK,2015,6.078,53.889,6.5554194,9.8,51.0,89.222,76.6493,9.622721,0.525,0.941,0.26491657,32.73697,0.851,28805.3873539017,1.1,824.0,0.935,10.094
SVK,2014,5.995,54.0,6.7015977,10.0166,50.0,89.222,76.847,9.992707,0.525,0.941,0.26106635,32.079483,0.849,27416.1338187893,1.171,824.0,0.933,10.094
SVK,2011,5.656836,54.42,7.508096,10.412,50.4,89.222,76.0166,8.747582,0.525,0.96,0.26538378,29.138021,0.844,26281.2218831945,1.171,824.0,0.948,10.094
SVN,2022,6.6499,54.269,4.601,14.272,60.0,84.84099,80.897,11.3631315,0.17592811159038463,0.953,0.247,37.549,0.91,41015.2252312307,0.686,1162.0,0.923,11.532
SVN,2021,6.6301,55.427,4.601,14.272,60.0,86.761,80.6904,10.226119,0.2848168100673077,0.911,0.247,37.754894,0.918,40104.3592584056,0.9,1162.0,0.859,11.532
SVN,2020,6.4607,55.118,4.601,14.272,60.0,86.761,80.4409,10.832737,0.433807581,0.926,0.24031529,37.56001,0.913,37155.0245366571,0.6,1162.0,0.87,11.370939
SVN,2019,6.3634,54.822,4.443596,13.9658,60.0,86.761,81.6042,11.284699,0.298,0.962,0.24384232,37.329544,0.921,39061.2494086051,0.5,1162.0,0.922,11.532
SVN,2018,6.1177,54.541,4.411978,12.7934,60.0,86.761,81.3581,11.157552,0.298,0.964,0.24633364,37.518078,0.917,37995.7163789561,0.5,1162.0,0.931,11.61505
SVN,2017,5.9476,54.273,4.378902,14.2857,61.0,86.761,81.0714,10.5933485,0.298,0.964,0.24219307,37.352383,0.913,36507.5530416531,0.6,1162.0,0.933,11.61
SVN,2016,5.758,54.02,4.502868,14.2867,61.0,86.761,81.1577,10.57404,0.298,0.967,0.24757937,37.6744,0.91,34853.0421239497,0.8,1162.0,0.936,11.532
SVN,2015,5.768,53.781,4.684927,14.7524,60.0,86.761,80.8218,10.913231,0.298,0.965,0.25408465,37.61555,0.903,33799.725526308,0.9,1162.0,0.94,11.532
SVN,2014,5.848,53.557,4.7430615,14.3636,58.0,88.68102,80.9406,11.316364,0.298,0.966,0.25657535,37.48991,0.902,33093.750438441,0.686,1162.0,0.942,11.532
SVN,2011,5.922324,52.883,5.044056,15.4581,60.0,86.761,79.9905,10.519038,0.298,0.969,0.24868034,37.646614,0.892,33568.067345579,0.686,1162.0,0.947,11.532
SOM,2018,4.6679,44.971,17.127485,14.807,10.0,,56.3754,26.422602,,0.184,,2.9421732,,1547.99734318239,,282.0,0.346,
SOM,2017,4.9815,44.391,16.939566,14.8685,9.0,,55.6536,26.882019,,0.222,,2.483921,,1558.29442450628,,282.0,0.391,
SOM,2016,5.151,43.816,17.016647,14.8291,10.0,,55.0444,26.935358,,0.196,,2.1105287,,1479.98752418738,,282.0,0.377,
SOM,2015,5.44,43.245,16.99739,15.026,8.0,,54.857,26.78306,,0.152,,1.3483882,,1444.09003241508,,282.0,0.344,
OWID_SML,2015,5.057,,,,,,,,,0.671,,,,0.0,,,0.701,
OWID_SML,2014,5.057,,,,,,,,,0.671,,,,0.0,,,0.701,
OWID_SML,2011,4.690952,,,,,,,,,0.629,,,,0.0,,,0.68,
ZAF,2022,5.2746,65.721,6.656,24.897,43.8,92.517,64.175,18.121729,0.1599342756923077,0.843,0.63,26.54,0.717,13478.7538566236,7.85,495.0,0.818,5.428
ZAF,2021,5.1939,67.847,6.656,24.897,43.8,92.517,62.341,17.853579,0.8416267282692308,0.838,0.63,27.848778,0.713,13337.7901302615,9.0,495.0,0.824,5.428
ZAF,2020,4.9564,67.354,6.656,24.897,43.8,92.517,65.2522,18.182276,0.24666271462264153,0.836,0.63,25.35494,0.727,12866.5689860294,8.0,495.0,0.816,5.603404
ZAF,2019,4.8141,66.856,6.4122596,23.4856,43.8,92.517,66.175,19.134817,0.416,0.837,0.63,27.03328,0.736,13850.8951466656,7.5,495.0,0.823,5.428
ZAF,2018,4.7222,66.355,6.4873023,24.3895,43.0,92.517,65.6743,18.36637,0.416,0.839,0.63,27.025719,0.726,13995.0628999187,6.9,495.0,0.845,5.570013
ZAF,2017,4.724,65.85,6.635029,25.8377,43.0,92.517,65.402,18.28308,0.416,0.829,0.63,26.712599,0.72,13950.4534761192,7.85,495.0,0.835,5.11
ZAF,2016,4.829,65.341,6.7378535,25.3077,45.0,92.517,64.7469,18.82985,0.416,0.879,0.63,26.818834,0.719,13844.2759627887,7.85,495.0,0.862,5.428
ZAF,2015,4.459,64.828,6.8395615,25.5519,44.0,92.517,63.9499,18.84238,0.416,0.879,0.63,26.980518,0.716,13887.2112158037,7.85,495.0,0.863,5.428
ZAF,2014,4.642,64.312,6.864475,25.2779,44.0,92.51729,63.3796,17.954317,0.416,0.879,0.6302607,26.443398,0.712,13993.2701443039,7.85,495.0,0.858,5.428
ZAF,2011,5.10052,62.746,6.6129847,24.4307,43.8,92.517,60.6507,17.321835,0.416,0.892,0.63,24.639748,0.686,13721.6851258725,7.85,495.0,0.863,5.428
KOR,2022,5.9511,81.561,6.804,21.963,54.6,88.91566,82.963,12.7978735,0.3023392247653846,0.953,0.313,25.77,0.914,45560.1235248247,0.586,1274.0,0.92,12.057
KOR,2021,5.9351,81.414,6.804,21.963,54.6,90.115,83.6978,13.189227,0.04085929965384615,0.957,0.313,29.87857,0.925,44299.9086290623,0.8,1274.0,0.937,12.057
