entity,food_insec,precipitation,indiv_free,happiness,gini,hdi,gdp_pc,corruption,air_deaths,life_expectancy,temperature,urbanization,hri,suicides,taxes,schooling
Serbia,56.092,10.307767,7.86,39.0,76.5115,11.99257,0.854,0.30351058,37.207443,0.808,17452.7967713611,2.0,,0.76,11.210345,5.603
Sierra Leone,42.055,15.445312,11.1969,30.0,59.7959,26.048365,0.819,0.35690176,11.755584,0.47,1610.32322824483,32.4,2526.0,0.821,4.6573877,4.3742
Singapore,100.0,5.772533,7.76,85.0,83.4576,,0.916,,13.01396,0.94,98280.0423725144,1.4,2497.0,0.727,12.937873,6.262
Slovakia,53.726,6.278058,9.43,50.0,77.264,9.963084,0.926,0.24970147,34.22225,0.859,,0.8,824.0,0.9,10.101996,6.1976
Slovenia,54.541,4.411978,12.7934,60.0,81.3581,11.157552,0.964,0.24633364,37.518078,0.917,37995.7163789561,0.5,1162.0,0.931,11.61505,6.1177
Somalia,44.971,17.127485,14.807,10.0,56.3754,26.422602,0.184,,2.9421732,,1547.99734318239,,282.0,0.346,,4.6679
South Africa,66.355,6.4873023,24.3895,43.0,65.6743,18.36637,0.839,,27.025719,0.726,13995.0628999187,6.9,495.0,0.845,5.570013,4.7222
South Korea,81.459,6.9229546,21.272,57.0,83.3427,12.579238,0.962,,26.688515,0.919,,0.5,1274.0,0.941,12.247689,5.8947
South Sudan,19.615,13.080122,6.65,13.0,55.9495,28.447786,0.077,,,0.395,,63.7,900.0,0.139,2.5113463,2.8526
Spain,80.321,2.6840222,5.38,58.0,83.1436,14.180961,0.972,0.3471895,35.323322,0.901,40276.9081639705,1.7,636.0,0.952,10.662965,6.3541
Sri Lanka,18.476,10.296928,13.2443,38.0,75.748,26.364687,0.799,,11.318004,0.776,13753.054887365,0.7,1712.0,0.839,8.374124,4.3659
Sweden,87.431,0.8295296,12.6869,85.0,82.5326,4.2189527,0.988,0.2997419,44.25993,0.942,52349.2924275599,1.2,624.0,0.967,11.709058,7.3433
